project_id,name,desc,goal,keywords,disable_communication,country,currency,deadline,state_changed_at,created_at,launched_at,backers_count,final_status
kkst1451568084,drawing for dollars,I like drawing pictures. and then i color them too. so i thought i would suggest something for me to draw and then if someone wants...,20,drawing-for-dollars,FALSE,US,USD,1241333999,1241334017,1240600507,1240602723,3,1
kkst1474482071,Sponsor Dereck Blackburn (Lostwars) Artist in Residence in Kankakee Illinois,"I, Dereck Blackburn will be taking upon an incredible journey in the month of May 2009. I will be traveling to my hometown of Kankakee...",300,sponsor-dereck-blackburn-lostwars-artist-in-residence-in-kankakee-illinois,FALSE,US,USD,1242429000,1242432018,1240960224,1240975592,2,0
kkst183622197,Mr. Squiggles,"So I saw darkpony's successfully funded drawing for dollars project and I thought """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""That's fun."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" I drew this guy, who I'm calling...",30,mr-squiggles,FALSE,US,USD,1243027560,1243027818,1242163613,1242164398,0,0
kkst597742710,Help me write my second novel.,"Do your part to help out starving artists and help me write my second novel!

I have just finished writing my first novel, and...",500,help-me-write-my-second-novel,FALSE,US,USD,1243555740,1243556121,1240963795,1240966730,18,1
kkst1913131122,Support casting my sculpture in bronze,"I'm nearing completion on a sculpture, currently titled """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Un-named Man (2009),"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" which stands approximately 13-inches tall and is...",2000,support-casting-my-sculpture-in-bronze,FALSE,US,USD,1243769880,1243770317,1241177914,1241180541,1,0
kkst1085176748,daily digest,"I'm a fledgling videoblogger living in Brooklyn, NY. The webcast I'm making, which you can check out at http://www.youdigest.com...",700,daily-digest,FALSE,US,USD,1243815600,1243816219,1241050799,1241464468,14,0
kkst1468954715,iGoozex - Free iPhone app,I am an independent iPhone developer that believes in free software. Recently I released an iPhone app that assists users of Goozex...,250,igoozex-free-iphone-app,FALSE,US,USD,1243872000,1243872028,1241725172,1241736308,2,0
kkst194050612,Drive A Faster Car 2.0,Drive A Faster Car (http://www.driveafastercar.com) has been a personal project and love of mine for the past eight years -- blogging...,1000,drive-a-faster-car-20,FALSE,US,USD,1244088000,1244088022,1241460541,1241470291,32,1
kkst708883590,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""LostLES"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" at Tiny's Giant","Opening Friday, June 5 2009, on view through September, 2009.
Tiny’s Giant Sandwich Shop, 129 Rivington St, NYC 10002.

Michael...",5000,lostles-at-tinys-giant,FALSE,US,USD,1244264400,1244264422,1241415164,1241480901,44,0
kkst890976740,Choose Your Own Adventure - A Robot Painting Series,"This project is for a Choose Your Own Adventure painting series. Here is how it works.

You pledge $35 and you are put in line...",3500,choose-your-own-adventure-a-robot-painting-series,FALSE,US,USD,1244946540,1244946632,1242268157,1242273460,18,0
kkst2053381363,Anatomy of a Credibility Meltdown — a book about the Voting Machine Controversy,I am an independent PR practitioner with a longtime interest in voting machines. With your help I can write a book that chronicles...,30000,anatomy-of-a-credibility-meltdown-a-book-about-the,FALSE,US,USD,1245026160,1245026721,1241829376,1242056094,7,0
kkst918550886,No-bit: An artist book of analog drawings inspired by digital pixels.,"I want to create an artist book of drawings inspired by digital pixels. What's an artist book? It's a work of art in the form of a book, of course...",300,no-bit-an-artist-book-of-analog-drawings-inspired-by-digital-pixels,FALSE,US,USD,1245038400,1245038428,1242523061,1242528805,2,0
kkst934689279,"Indie Nerd Board Game, Needs Player Character Miniature Sculpted!  ","pictured here is the character we would like to sculpt as a high quality game miniature - the Forsaker, a man that has abandoned his sanity to face..",1500,indie-nerd-board-game-needs-hero-miniature-sculpted,FALSE,US,USD,1245042600,1245042919,1242364202,1242369560,28,1
kkst191414809,Icons for your iPhone apps,"I make cool icons for iPhone developers at http://glyphish.com and if I can collect $500 in donations, I'll release the whole set...",500,awesome-icons-for-your-iphone-apps,FALSE,US,USD,1245092400,1245092431,1241034764,1241039475,98,1
kkst569584443,HAPPY VALLEY: Dexter meets 6 Feet Under. For the web. Help me make the pilot.,"I am a professional creator and producer of web video series The Burg, The All-For-Nots and All's Faire. I am putting together a...",500,help-me-make-my-webseries-pilot-on-crime-and-anti-violence,FALSE,US,USD,1245528660,1245528920,1242072711,1242333869,3,0
